max buffer gets delta,max executions delta,max ELAPSED TIME DELTA ,max rows TIME DELTA ,max disk reads delta,max cpu TIME DELTA 
6,1,331361,8,0,328125
9,2,1230,1,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,14,1079,0,0,0
0,0,0,0,0,0
25,5,84787,5,2,15625
909,1,819200,1,0,125000
2997,1,3624683,0,0,265625
9,3,763,11,0,0
126,9,254810,9,0,0
153,51,2489,0,0,0
0,4,24040,4,0,31250
48,6,1883,6,0,0
6,1,2461,14,0,15625
0,0,0,0,0,0
2802,2,491905,3,0,62500
21,3,1228,3,0,0
12,1,330,1,0,15625
0,4,19249,4,0,31250
0,5,594,5,0,0
0,0,0,0,0,0
84,21,3281634,21,0,0
25,5,988,5,0,0
42,1,92968,351,0,15625
0,4,262502,4,0,0
0,6,296,0,0,0
6,1,1252175,3,0,0
0,1,124150,0,0,0
876,234,16219,420,0,0
4,2,2676,2,0,15625
48,6,2850,6,0,0
16,1,227134,0,0,0
35,5,6718,5,0,0
156,13,6776,13,0,0
0,0,0,0,0,0
170,10,2558967,0,0,15625
0,5,3676780,0,0,0
3,1,700,1,0,0
6,1,160831,1,0,0
24,6,6038,6,0,0
1251,404,10088337,6021,155,93750
596,101,2672803,144,16,0
1263,151,1816042,190,36,156250
233,2,7349074,2,74,62500
14020,1,13663002,2709,1134,140625
239,1,177770,12,9,46875
204,21,582557,260,29,46875
564,1,9741569,0,47,125000
77,15,477188,7,6,0
62,5,7848,0,0,0
137,1,447289,8,9,359375
703,4,5734827,4,40,62500
79,10,107511,10,5,0
0,0,20566,0,0,15625
8,0,8055,0,0,0
32481,1,18982976,1,1821,1203125
1510,2,4678283,2,174,125000
342,159,406044,0,9,0
1017,339,1321961,339,9,0
128,30,6373,0,0,15625
357,1,177051,0,13,62500
2169,139,7067924,939,70,125000
1531,1,1962668,4,628,218750
488,1,4084079,1,30,93750
47,3,13364,3,1,0
3,1,767,1,0,0
44,11,570904,11,1,0
1616,121,96166,671,5,31250
161,28,413402,86,1,0
215,1,155062,1,10,46875
14182,1,154466,1,5,109375
218,1,55468,6,9,31250
540,211,69756,106,2,31250
94,1,56771,0,1,31250
959,1,2784529,1,675,62500
221,60,5927559,60,24,15625
99,10,9225,0,0,15625
60,29,6820,29,0,15625
1146,357,5260789,357,31,31250
469,20,49339,40,5,31250
737,1,3602451,1,25,109375
71,9,404395,9,4,0
35,1,630543,201,4,15625
7,1,35985,4,1,0
168,48,515568,39,4,31250
21,4,253798,4,1,31250
71,16,2763838,16,18,15625
104,1,69338,1,2,15625
2298,1,10071668,1,107,140625
1852,1,1193642,1,96,140625
72,4,159861,10,22,0
260,82,2569141,21,37,31250
151,1,531432,8,9,375000
1575,113,2320984,668,62,0
1528,1,1550778,2,629,171875
47,3,13576,3,1,0
3,1,1418,1,0,15625
36,9,37214,9,1,0
1537,116,93526,638,4,31250
161,28,11348,86,1,0
151,1,617592,8,9,546875
14182,1,254030,1,5,109375
795,1,1283935,1,74,46875
3,1,2097,0,0,0
2,2,2067860,0,1,0
540,211,58498,106,2,31250
0,0,58325,0,0,15625
99,10,7760,0,0,31250
56,27,5537,27,0,0
342,1,536053,1,22,31250
168,1,1633268,1,15,15625
468,20,47479,40,5,15625
737,1,679587,1,25,78125
0,1,564385,8,0,500000
815,1,848893,1,26,93750
596,101,451464,144,16,31250
1283,145,895243,182,40,78125
107,1,280495,1,3,15625
2293,1,2968040,1,108,78125
216,1,505736,6,9,15625
1663,3,2410814,3,116,156250
21,15,4011,0,0,15625
539,1,2241108,1,44,93750
203,1,178735,18,13,46875
890,1,620829,48,26,93750
142,1,924320,1,4,31250
94,48,112528,46,3,0
972,260,708155,3068,21,62500
72,15,51477,15,1,31250
578,1,463726,1,20,62500
53,4,78745,5,8,0
356,59,2215816,71,58,15625
613,1,107520,0,0,46875
6,1,2041511,12,0,0
6,1,8945,14,0,15625
6,1,424984,8,0,312500
12,4,786,4,0,0
0,3,583745,3,0,15625
6,1,737179,3,0,0
0,3,1530737,3,0,0
10,1,96526,4,0,0
0,1,365300,8,0,328125
0,80,4982,0,0,0
7,7,660,0,0,0
7,7,1124,7,0,0
1131,377,167498,4,0,0
18,1,541933,4,0,0
27,9,1674,0,0,0
0,0,0,0,0,0
6,1,366359,8,0,328125
4,4,480,4,0,0
0,4,783,0,0,15625
0,4,438,0,0,0
49,7,1283,0,0,0
0,0,0,0,0,0
2800,2,259052,2,0,78125
21,3,1479,3,0,0
0,3,16982,3,0,15625
0,4,461,4,0,0
0,0,0,0,0,0
56,14,7474276,14,0,15625
20,4,873,4,0,0
584,156,11105,280,0,15625
0,66,1951109,66,0,31250
28,4,5345,4,0,15625
6,1,483207,8,0,437500
546,1,1521754,0,39,265625
0,1,79405,0,0,93750
6702,1,226090,0,0,187500
225,1,1059364,0,104,78125
41,8,32609,0,2,31250
23,398,54668,0,0,31250
58,5,1570218,5,8,46875
3191,1,553367,0,58,312500
62,31,22480,0,1,31250
0,0,0,0,0,0
207,68,514219,21,24,15625
1069,9,244740,9,15,31250
33,1,873909,1,2,31250
24,2,8756,0,0,0
416,83,24486,83,1,0
180,103,35192,20,3,46875
114,57,8375,57,0,0
16,4,4889,0,0,0
152,38,15175,38,0,15625
4855,2,824865,60,77,375000
51,7,6347,7,2,0
0,0,0,0,0,0
115,28,61986,37,1,0
2012,690,228712,626,7,62500
564,188,25602,188,0,15625
6,6,3689,0,0,0
0,0,67640,0,0,0
141,47,281781,47,4,0
20,20,1097,0,0,0
6772,1,363011,1,4,187500
115,2,45327,0,1,15625
1601,407,39958,379,0,31250
20,16,4965,4,0,0
6,0,10971,0,0,0
371,107,99877,1560,3,46875
20,20,3416,20,0,0
364,1,848848,0,217,109375
0,0,0,0,0,0
384,68,1235325,82,35,31250
3,1,85353,1,2,15625
2,2,261560,2,1,0
131,39,61811,78,2,15625
85,5,375576,0,0,93750
3,1,1744,0,0,0
2,2,2766345,0,1,0
8237,3007,8940855,2079,105,140625
218,1,71164,1,9,31250
36,5,4552,0,0,0
1663,3,16922519,3,115,109375
0,1,765949,1,0,781250
442,118,180329,210,2,31250
71,4,603644,4,5,15625
3835,1,41141969,1,252,421875
0,0,24837,0,0,15625
182,30,31017,41,2,15625
1120,1,13936921,1,151,171875
0,1,339448,8,0,343750
50,4,382523,4,5,0
1263,82,10074499,313,468,93750
6,0,3946,0,0,0
39,11,248733,2,1,0
553,44,3476913,44,157,78125
2202,112,4031290,935,45,46875
0,19,2288,19,0,0
438,117,12484,210,0,0
315,105,7951,0,0,15625
12,6,700,6,0,0
1714,1,3495240,1,86,156250
59,20,3117,19,0,0
21,103,11908,0,0,0
392,1,1278534,72,16,31250
94,1,9813,19,0,15625
5403,1800,99960,1800,0,62500
442,27,335010,0,1,140625
6,1,165880,12,0,0
20954,1,3957772,0,128,1218750
758,18,14546,18,0,0
0,44,111801,44,0,31250
810,14,219271,390,18,31250
10,4,70428,35,2,15625
2961,917,617065,727,24,203125
72,1,672667,0,6,0
310,1,949684,1,22,46875
170,10,344609,0,0,62500
174,2,155134,38,1,46875
0,0,0,0,0,0
1187,68,2594120,301,449,156250
4849,76,1859037,76,60,609375
0,1,482184,8,0,421875
372,120,906666,1549,56,15625
437,1,821958,1,23,31250
2674,1,1012755,452,5,93750
3757,24,400135,24,26,125000
93,31,14861,0,1,0
6,1,482981,8,0,421875
16496,1,7377029,1,460,1609375
0,0,0,0,0,0
601,87,59907,113,0,62500
15,8,1019,7,0,0
11734,0,10287157,0,312,7328125
60,5,28408,0,0,31250
315,105,18830,0,0,15625
262,1,677978,0,16,265625
178,89,78984,0,3,46875
55,17,1198,0,0,0
776,1,624805,0,8,359375
